Unnamed: 0,file_path,question_x,answer_x,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8,question_y,answer_y
0,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1447.png,what is in front of the photo,cabinet,table,table,desk,vase,furniture,what is on the left side of the white oven on the floor and on right side of the blue armchair,garbage_bin
1,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image720.png,what is the object above the counter,mirror,candelabra,photo,mirror,lamp_shade,mirror,what is on the left side of the fire extinguisher and on the right side of the chair,table
2,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image596.png,what is the object behind the table close to the wall,window,electric_box,electric_box,air_conditioner,stool,container,what is between the the two white and black garbage bins,chair
3,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1272.png,what is object is to the right of the sofa near the wall,indoor_fountain,lamp,lamp,lamp,lamp,lamp,how many objects are between the fire extinguisher and the white oven on the floor,3
4,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1111.png,what is found below the mirror,table,desk,desk,desk,desk,desk,what is the largest object in this picture,washing_machine
5,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1061.png,what is on the right side of the table,door,drawer,drawer,plant,bed,chair,how many plastic bottles are between the white fridge and the oven,5
6,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image434.png,what object is in the room,table,chair,chairs,vase,pot,vase,what is under the white cabinet on the right side of the oven and and on the left side of the fridge,sink
7,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image45.png,what color is the hair brush,pink,red,toy,pink,red,red,what is on the left side of the white sink and under the cabinet,microwave
8,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image384.png,what is in front of the chair,table,table,table,table,table,table,how many white objects in this picture,9
9,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image399.png,what is the colour of the bag on the chair,pink,pink,window,pink,green,pink,what is under the pan,oven
10,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1023.png,what is present to the right of the table,room_divider,shelves,shelf_frame,bookshelf,cabinet,bookshelf,what is on the right side of the black telephone and on the left side of the red chair,desk
11,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image632.png,how many chairs are there,4,6,4,5,4,4,what is in front of the white door on the left side of the desk,telephone
