,0,1,# of Shots 0
0,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/316577571_27a0e0253e.jpg,A white dog is chasing behind a black and white dog .,Two dogs running joyfully in the grass .
1,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2552949275_b8cdc450cc.jpg,a brown dog jumping into the beach,Dog jumping into the water at the beach .
2,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2698614194_b4e6e11dff.jpg,Five young men playing rugby .,Players leap for the ball in an intense game.
3,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/519059913_4906fe4050.jpg,A brown-haired boy in swim trunks is flipped backwards over a swimming pool .,Kid flipping into the pool .
4,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2411824767_4eb1fae823.jpg,"A corgi jumps off a bale of hay , m water and buildings behind it .",Corgi leaping over hay bales by the water .
5,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/462198798_89e2df0358.jpg,A black dog walks along a marsh 's edge .,Dog walking along the water's edge .
6,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/404702274_fa8b3fe378.jpg,A black and white dog is leaping from a snowy path .,Dog leaping for snowball in the forest .
7,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/58363928_6f7074608c.jpg,The man is hiking up a grassy mountainside .,Hiker ascending a steep mountain slope.
8,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3485816074_363cab4bff.jpg,A rugby player attempts to break free of an opposing player with both teams closing in .,Rugby players in intense action on the field.
9,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2973269132_252bfd0160.jpg,A large wild cat is pursuing a horse across a meadow .,Lion chasing a wildebeest in the wild .
10,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2792409624_2731b1072c.jpg,The black and white dog is running on the grass .,Border Collie in mid-air pursuit .
11,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2934325103_e9b8d7430f.jpg,A person on a bmx bike .,Mountain biker racing downhill under the evening sky.
12,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/241347214_5f19e7998c.jpg,Three football players wearing red jerseys are on the field .,Football players celebrating a touchdown .
13,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3262301835_9f1a49b80a.jpg,Three people are waiting on the curb as a man walks by .,People waiting at a bus stop .
14,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2187222896_c206d63396.jpg,An African American boy stands in front of a blue building in the handicapped space .,Boy in a red shirt standing by a blue painted brick wall. 
15,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3156406419_38fbd52007.jpg,A person skiing downhill .,Skier gliding through fresh powder snow .
