Unnamed: 0,file_path,question,answer,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8,answers_all
0,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1447.png,what is in front of the photo,cabinet,table,table,desk,vase,furniture,pink
1,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image720.png,what is the object above the counter,mirror,candelabra,photo,mirror,lamp_shade,mirror,table
2,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image596.png,what is the object behind the table close to the wall,window,electric_box,electric_box,air_conditioner,stool,container,toy
3,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1272.png,what is object is to the right of the sofa near the wall,indoor_fountain,lamp,lamp,lamp,lamp,lamp,mirror
4,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1111.png,what is found below the mirror,table,desk,desk,desk,desk,desk,black
5,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1061.png,what is on the right side of the table,door,drawer,drawer,plant,bed,chair,ornamental_plant
6,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image434.png,what object is in the room,table,chair,chairs,vase,pot,vase,basketball
7,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image45.png,what color is the hair brush,pink,red,toy,pink,red,red,4
8,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image384.png,what is in front of the chair,table,table,table,table,table,table,towel
9,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image399.png,what is the colour of the bag on the chair,pink,pink,window,pink,green,pink,"comforter, pillow"
10,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1023.png,what is present to the right of the table,room_divider,shelves,shelf_frame,bookshelf,cabinet,bookshelf,table
11,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image632.png,how many chairs are there,4,6,4,5,4,4,black
12,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image809.png,what is the colour of the picture on the wall,red,red,red,red,red,red,cup
13,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image408.png,what is on the left side of the stool,stand,printer,printer,drawer,printer,printer,"hair_brush, clothes"
14,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image418.png,what is on the right side of the bed,table,basket,wooden_bench,toys_basket,table,window,1
15,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image201.png,what is the colour of television,black,black,black,black,black,black,candelabra
16,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image290.png,how manu blue chair are there,8,6,1,8,7,6,curtain
17,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image686.png,what are found on the bottom left of the outside of the shower room,drawer,red,red,red,rug,towel,green
18,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image721.png,what is on the right side of the tap,cup,candle,cup,soap,soap,vase,room_divider
19,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image916.png,what is the object in the right top of the lamp shade,photo,fire_alarm,window,picture,decoration_item,ornamental_item,curtain
20,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image124.png,what is on the left of kitchen island,tupperware,cup,sink,sink,cup,sink,table
21,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image613.png,what is on the shelf,decorative_item,books,books,files,books,book,garbage_bin
22,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image876.png,what is the object on the floor in front of the cabinet,garbage_bin,garbage_bin,garbage_bin,rug,garbage_bin,garbage_bin,"table, chair"
23,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1051.png,what are hanged above the laundry basket,clothes,clothes,shirts_in_hanger,shirts_in_hanger,shirts_in_hanger,clothes,1
24,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1418.png,what is on the floor,rug,rug,floor_mat,rug,rug,rug,red
25,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1381.png,what in on the table,candelabra,candelabra,candelabra,candelabra,candlestick,candelabra,ornamental_plant
26,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image461.png,what is in between the ornamental plants,tissue_box,vase,tray,lights,table,table,garbage_bin
27,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image508.png,what color is the bathroom mat on the floor,red,red,brown,red,brown,red,4
28,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image73.png,what is on the bed,comforter,pillow,pillow,pillow,pillow,pillow,"book, carton, bottle"
