,file_path,question,answer,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1447.png,what is in front of the photo,cabinet,table,table,desk,vase,furniture
1,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image720.png,what is the object above the counter,mirror,candelabra,photo,mirror,lamp_shade,mirror
2,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image596.png,what is the object behind the table close to the wall,window,electric_box,electric_box,air_conditioner,stool,container
3,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1272.png,what is object is to the right of the sofa near the wall,indoor_fountain,lamp,lamp,lamp,lamp,lamp
4,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1111.png,what is found below the mirror,table,desk,desk,desk,desk,desk
5,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1061.png,what is on the right side of the table,door,drawer,drawer,plant,bed,chair
6,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image434.png,what object is in the room,table,chair,chairs,vase,pot,vase
7,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image45.png,what color is the hair brush,pink,red,toy,pink,red,red
8,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image384.png,what is in front of the chair,table,table,table,table,table,table
9,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image399.png,what is the colour of the bag on the chair,pink,pink,window,pink,green,pink
10,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1023.png,what is present to the right of the table,room_divider,shelves,shelf_frame,bookshelf,cabinet,bookshelf
11,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image632.png,how many chairs are there,4,6,4,5,4,4
12,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image809.png,what is the colour of the picture on the wall,red,red,red,red,red,red
13,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image408.png,what is on the left side of the stool,stand,printer,printer,drawer,printer,printer
14,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image418.png,what is on the right side of the bed,table,basket,wooden_bench,toys_basket,table,window
15,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image201.png,what is the colour of television,black,black,black,black,black,black
16,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image290.png,how manu blue chair are there,8,6,1,8,7,6
17,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image686.png,what are found on the bottom left of the outside of the shower room,drawer,red,red,red,rug,towel
18,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image721.png,what is on the right side of the tap,cup,candle,cup,soap,soap,vase
19,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image916.png,what is the object in the right top of the lamp shade,photo,fire_alarm,window,picture,decoration_item,ornamental_item
20,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image124.png,what is on the left of kitchen island,tupperware,cup,sink,sink,cup,sink
21,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image613.png,what is on the shelf,decorative_item,books,books,files,books,book
22,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image876.png,what is the object on the floor in front of the cabinet,garbage_bin,garbage_bin,garbage_bin,rug,garbage_bin,garbage_bin
23,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1051.png,what are hanged above the laundry basket,clothes,clothes,shirts_in_hanger,shirts_in_hanger,shirts_in_hanger,clothes
24,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1418.png,what is on the floor,rug,rug,floor_mat,rug,rug,rug
25,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1381.png,what in on the table,candelabra,candelabra,candelabra,candelabra,candlestick,candelabra
26,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image461.png,what is in between the ornamental plants,tissue_box,vase,tray,lights,table,table
27,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image508.png,what color is the bathroom mat on the floor,red,red,brown,red,brown,red
28,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image73.png,what is on the bed,comforter,pillow,pillow,pillow,pillow,pillow
29,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1202.png,what is found on the sofa,pillow,pillows,pillow,pillow,pillow,pillow
30,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image343.png,what is colour of the shelf on the top,black,black,black,black,black,black
31,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image958.png,what is on the right side of the blinds,decorative_item,lamp,clock,lamp,lamp,lamp
32,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image972.png,what are found on the bed,pillow,bed_sheets,bed_sheets,clothes,bed_sheets,bed_sheets
33,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1373.png,what is on the table,book,books,box,box,books,books
34,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image143.png,what is the colour of the food inside the bottle,red,brown,box,garbage_bin,brown,brown
35,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1439.png,what is on the dining table,ornamental_plant,decorative_item,ornamental_item,decorative_bowl,vase,plant
36,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image854.png,how many knobs are there,6,7,7,7,10,14
37,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image470.png,what is the colour of the shirt the person is wearing,white,white,white,white,white,white
38,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image540.png,what are the objects on the bed,blanket,"blanket, pillow","blanket, pillow","blanket, pillow","pillow, blanket",sheet
39,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image515.png,what is behind the bed,curtain,mirror,mirror,mirror,mirror,mirror
40,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image679.png,what is in front of the glass,towel,towel,soap_box,soap,towel,towel
41,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1097.png,what is on the right side of the table,bed,bed,picture,person,bed,carton
42,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1362.png,how many drawers are there,4,4,6,4,4,4
43,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image653.png,what is at the right most part,bathtub,shower_hose,towel_rod,shower_hose,shower_hose,shower_hose
44,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image898.png,how many drawers are there,4,10,14,9,10,11
45,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1218.png,what is hanged in front of the door,curtain,curtain,curtain,curtain,curtain,curtain
46,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image117.png,what is the object stuck close to the wall,wall_decoration,table,air_vent,window,shelves,wire_board
47,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1437.png,what is seen on the dining table,ornamental_plant,decorative_item,decoration_item,flower,plant,decorative_item
48,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1400.png,what is behind the chair,mirror,window,window,frame,window,window
49,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image60.png,what are the objects in the bed,hair_brush,"blanket, clothes, pillow",clothes,clothes,clothes,clothes
50,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1363.png,what is the colour of the chair,red,red,red,red,red,red
51,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image529.png,what is left of printer,mirror,laundry_basket,container,laundry_basket,laundry_basket,drawer
52,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image357.png,what is the colour of the plant,green,green,green,green,green,green
53,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image88.png,what is the object kept close to the wall,clock,clock,pillar,wall_decoration,books,books
54,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image838.png,what is on the left side of the sink,towel,paper_towel,paper_towel,roll_of_paper_towels,tray,paper_towel
55,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image56.png,how many doors does the night stand have,3,0,0,0,0,0
56,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image477.png,what is the ball on the table,basketball,basketball,basketball,basketball,basketball,basketball
57,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image566.png,what is in front of refridgerator,person,person,person,person,person,chair
58,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1423.png,what is in the cupboard,decorative_plate,decorative_item,decorative_item,decorative_item,decorative_item,decorative_plate
59,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image591.png,what is the object on the floor in front of the wall,cabinet,basket,cabinet,cabinet,cabinet,cabinet
60,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1039.png,what is present in the room on the right side,slide,bucket,slide,slide,slide,basket
61,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1399.png,what is at the right top,chandelier,chandelier,chandelier,chandelier,picture,photo
62,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image869.png,how many photos are in the wall,9,10,10,12,9,12
63,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1066.png,what are the things found near the table,container,"chair, books, shelf, bag, box","chair, bag, blue bin, shelf","bag, wooden_plank, chair, book, papers","chair, bag, books",NA
64,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image580.png,what is on the right side of the curtains,picture,lamp,lamp,lamp,lamp,lamp
65,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image990.png,what objects are found on the top row of the toys shelf,books,books,wall_decoration,toys_shelf,books,book
66,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image280.png,what is on the bed,toy,toy_doll,soft_toy,toy_doll,soft_toy,soft_toy
67,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image685.png,what is on the right side of the toilet,tissue_roll,toilet_paper_holder,toilet_paper,tissue_roll,toilet_paper_holder,toilet_paper_holder
68,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1063.png,what is the largest object,bed,bed,bed,bed,bed,bed
69,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1376.png,what is stuck on the wall,wall_decoration,picture,picture,picture,picture,picture
70,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image422.png,what is on the left side of the sofa,foosball_table,foosball_table,foosball_table,foosball_table,foosball_table,foosball_table
71,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1426.png,what are the white objects,chair,chairs,chairs,chairs,chair,chairs
72,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image973.png,what is found to the left side of the lamp,door,drawer,desk,drawer,door,drawer
73,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image438.png,what is on the desk,doll_house,computer,"calendar, notebook, papers",computer,papers,decorative_item
74,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image598.png,how many sofas are there,2,2,3,3,3,3
75,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image501.png,what is the colour of the curtain,blue,blue,blue,blue,blue,blue
76,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image352.png,what is in front of the sofas,table,coffee_table,table,table,table,table
77,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1317.png,what is in front of the sofa,television,treadmill,excercise_machine,treadmill,treadmill,treadmill
78,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1320.png,what is on the right side of the chair,blinds,fruit_basket,fruit_basket,fruit_basket,basket,basket
79,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1440.png,what are stuck on the wall,photo,photo,picture,picture,picture,picture
80,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image996.png,what objects are found on the bed,doll,soft_toy,table,soft_toy,soft_toy,pillow
81,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image172.png,what is on the table between the dark brown armchairs,paper,tissue,pile of papers,tray,tissue,paper
82,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image694.png,what is the colour of the towel,white,white,white,towel,white,white
83,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image392.png,what is on the left side of the books,remote_control,cell_phone,air_conditioner,paper,photo_album,chair
84,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1341.png,what is at the right bottom,table,chair,rug,dining_table,chair,table
85,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image471.png,what is behind the monitor,printer,window,printer,picture,frame,printer
86,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image408.png,what is beneath the table,garbage_bin,bin,garbage_bin,garbage_bin,chessboard,bin
87,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1320.png,what are found on the rack,toy,decorative_item,decorative_item,decorative_items,decorative_item,decorative_item
88,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1326.png,how many flags are visible,1,2,2,1,2,2
89,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image13.png,how many white monitors are there,1,1,2,1,1,1
90,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image697.png,how many drawer knobs are there,10,14,12,12,9,11
91,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image64.png,what is the object behind the cot and the table,room_divider,door,wall,wall,wall,wall_divider
92,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image622.png,what is below the table,box,box,box,box,rug,box
93,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image472.png,how many doors does the bookshelf have,4,4,4,4,4,4
94,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1173.png,what is behind the chair,table,wall,wall,air_vent,picture,wall
95,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1113.png,what is the colour of the object on the television,pink,pink,black,pink,pink,pink
96,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image953.png,what is the largest object,bed,bed,bed,bed,bed,bed
97,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image169.png,how many televisions are there,1,1,1,1,1,1
98,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image490.png,how many chairs are visible,2,4,6,8,5,7
99,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image25.png,how many stacks of paper are there on the table,2,2,2,3,2,4
